id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
71;Professor;Dept Ecologia;UFRJ;Ecologia Vegetal;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
204;Doutorado;PPGE;UFRJ;Ecologia Vegetal;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
40;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
199;Professor;Dept Ecologia;UFRJ;Ecologia Vegetal;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
58;Professor;Dept Ecologia;UFRJ;Inseto-Planta;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
164;Doutorado;PPGE;Jardim Botanico;Polinizacao;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
5;PosDoc;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
195;Doutor;IIS;PUC;IIS;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
224;Mestre;IIS;PUC;IIS;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
69;Mestrado;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
