"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
8176,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8176,"Upamaroti","Distrito","District",NA,NA
8177,33,"BRA","Brazil",21,"Rio Grande do Sul",4204,"Santiago",8177,"Carovi","Distrito","District",NA,NA
8178,33,"BRA","Brazil",21,"Rio Grande do Sul",4204,"Santiago",8178,"Ernesto Alves","Distrito","District",NA,NA
8179,33,"BRA","Brazil",21,"Rio Grande do Sul",4204,"Santiago",8179,"Flórida","Distrito","District",NA,NA
8180,33,"BRA","Brazil",21,"Rio Grande do Sul",4204,"Santiago",8180,"Santiago","Distrito","District",NA,NA
8181,33,"BRA","Brazil",21,"Rio Grande do Sul",4204,"Santiago",8181,"Tupantuba","Distrito","District",NA,NA
8182,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8182,"Atafona","Distrito","District",NA,NA
8183,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8183,"Buriti","Distrito","District",NA,NA
8184,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8184,"Colonia Municipal","Distrito","District",NA,NA
8185,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8185,"Comandai","Distrito","District",NA,NA
8186,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8186,"Cristo Rei","Distrito","District",NA,NA
8187,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8187,"Lajeado Cerne","Distrito","District",NA,NA
8188,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8188,"Lajeado Micuim","Distrito","District",NA,NA
8189,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8189,"Ressaca Buriti","Distrito","District",NA,NA
8190,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8190,"Restinga Seca","Distrito","District",NA,NA
8191,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8191,"Rincao dos Mendes","Distrito","District",NA,NA
8192,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8192,"Rincao dos Roratos","Distrito","District",NA,NA
8193,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8193,"Santo Ángelo","Distrito","District",NA,NA
8194,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8194,"Sossêgo","Distrito","District",NA,NA
8195,33,"BRA","Brazil",21,"Rio Grande do Sul",4205,"Santo Ángelo",8195,"União","Distrito","District",NA,NA
